,Division,District,Population,Latitude,Longitude
0,Dhaka,Dhaka,12518000,23.779814950000002,90.36178191089084
1,Dhaka,Faridpur,1989000,23.46492195,89.86194536090468
2,Dhaka,Gazipur,3548000,24.105045,90.46452649949117
3,Dhaka,Gopalganj,1218000,23.10349275,89.90784056604679
4,Dhaka,Kishoreganj,3029000,24.340813750000002,90.92768329396006
5,Dhaka,Madaripur,1212000,23.2340107,90.14460791478643
6,Dhaka,Manikganj,1447000,23.871163,89.9987833
7,Dhaka,Munshiganj,1503000,23.5483797,90.5349722
8,Dhaka,Narayanganj,3074000,23.6238108,90.4999662
9,Dhaka,Narsingdi,2315000,24.02383345,90.81634842673736
10,Dhaka,Rajbari,1091000,23.73983725,89.5704133269708
11,Dhaka,Shariatpur,1202000,23.2355375,90.43997926336294
12,Dhaka,Tangail,3750000,24.376400599999997,89.99322157556293
